sensor_controller-acc_x,sensor_controller-acc_y,sensor_controller-acc_z,sensor_controller-altitude,sensor_controller-altitude_gps,sensor_controller-gra_x,sensor_controller-gra_y,sensor_controller-gra_z,sensor_controller-heading,sensor_controller-latitude,sensor_controller-longitude,sensor_controller-pitch,sensor_controller-press,sensor_controller-roll,sensor_controller-temp
-0.08,0.0,-0.04,133.87093601332649,,-0.01,3.21,-9.26,180.375,,,0.0,997.9107788085937,160.875,26.291812191809644
-0.08,0.0,-0.04,133.87093601332649,,-0.01,3.21,-9.26,180.375,,,0.0,997.9107788085937,160.875,26.291812191809644
-0.08,0.0,-0.04,133.87093601332649,,-0.01,3.21,-9.26,180.375,,,0.0,997.9107788085937,160.875,26.291812191809644
-0.08,0.0,-0.04,133.87093601332649,,-0.01,3.21,-9.26,180.375,,,0.0,997.9107788085937,160.875,26.291812191809644
-0.08,0.0,-0.04,133.87093601332649,,-0.01,3.21,-9.26,180.375,,,0.0,997.9107788085937,160.875,26.291812191809644
-0.08,0.0,-0.04,133.87093601332649,,-0.01,3.21,-9.26,180.375,,,0.0,997.9107788085937,160.875,26.291812191809644
-0.08,0.0,-0.04,133.87093601332649,,-0.01,3.21,-9.26,180.375,,,0.0,997.9107788085937,160.875,26.291812191809644
-0.08,0.0,-0.04,133.87093601332649,,-0.01,3.21,-9.26,180.375,,,0.0,997.9107788085937,160.875,26.291812191809644
-0.08,0.0,-0.04,133.87093601332649,,-0.01,3.21,-9.26,180.375,,,0.0,997.9107788085937,160.875,26.291812191809644
-0.08,0.0,-0.04,133.87093601332649,,-0.01,3.21,-9.26,180.375,,,0.0,997.9107788085937,160.875,26.291812191809644
-0.08,0.0,-0.04,133.87093601332649,,-0.01,3.21,-9.26,180.375,,,0.0,997.9107788085937,160.875,26.291812191809644
-0.08,0.0,-0.04,133.87093601332649,,-0.01,3.21,-9.26,180.375,,,0.0,997.9107788085937,160.875,26.291812191809644
-0.08,0.0,-0.04,133.87093601332649,,-0.01,3.21,-9.26,180.375,,,0.0,997.9107788085937,160.875,26.291812191809644
