sensor_controller-acc_x,sensor_controller-acc_y,sensor_controller-acc_z,sensor_controller-altitude,sensor_controller-altitude_gps,sensor_controller-gra_x,sensor_controller-gra_y,sensor_controller-gra_z,sensor_controller-heading,sensor_controller-latitude,sensor_controller-longitude,sensor_controller-pitch,sensor_controller-press,sensor_controller-roll,sensor_controller-temp
-0.04,-0.11,0.1,8.273704342745997,,-0.64,7.16,6.66,294.625,,,-3.75,1009.9097032165528,47.0625,19.34090311173475
-0.04,-0.11,0.1,8.273704342745997,,-0.64,7.16,6.66,294.625,,,-3.75,1009.9097032165528,47.0625,19.34090311173475
-0.04,-0.11,0.1,8.273704342745997,,-0.64,7.16,6.66,294.625,,,-3.75,1009.9097032165528,47.0625,19.34090311173475
-0.04,-0.11,0.1,8.273704342745997,,-0.64,7.16,6.66,294.625,,,-3.75,1009.9097032165528,47.0625,19.34090311173475
-0.04,-0.11,0.1,8.273704342745997,,-0.64,7.16,6.66,294.625,,,-3.75,1009.9097032165528,47.0625,19.34090311173475
-0.04,-0.11,0.1,8.273704342745997,,-0.64,7.16,6.66,294.625,,,-3.75,1009.9097032165528,47.0625,19.34090311173475
-0.04,-0.11,0.1,8.273704342745997,,-0.64,7.16,6.66,294.625,,,-3.75,1009.9097032165528,47.0625,19.34090311173475
-0.04,-0.11,0.1,8.273704342745997,,-0.64,7.16,6.66,294.625,,,-3.75,1009.9097032165528,47.0625,19.34090311173475
-0.04,-0.11,0.1,8.273704342745997,,-0.64,7.16,6.66,294.625,,,-3.75,1009.9097032165528,47.0625,19.34090311173475
-0.04,-0.11,0.1,8.273704342745997,,-0.64,7.16,6.66,294.625,,,-3.75,1009.9097032165528,47.0625,19.34090311173475
-0.04,-0.11,0.1,8.273704342745997,,-0.64,7.16,6.66,294.625,,,-3.75,1009.9097032165528,47.0625,19.34090311173475
-0.04,-0.11,0.1,8.273704342745997,,-0.64,7.16,6.66,294.625,,,-3.75,1009.9097032165528,47.0625,19.34090311173475
-0.04,-0.11,0.1,8.273704342745997,,-0.64,7.16,6.66,294.625,,,-3.75,1009.9097032165528,47.0625,19.34090311173475
-0.04,-0.11,0.1,8.273704342745997,,-0.64,7.16,6.66,294.625,,,-3.75,1009.9097032165528,47.0625,19.34090311173475
-0.04,-0.11,0.1,8.273704342745997,,-0.64,7.16,6.66,294.625,,,-3.75,1009.9097032165528,47.0625,19.34090311173475
