logqueue-acc_x,logqueue-acc_y,logqueue-acc_z,logqueue-altitude,logqueue-altitude_gps,logqueue-gra_x,logqueue-gra_y,logqueue-gra_z,logqueue-heading,logqueue-latitude,logqueue-longitude,logqueue-pitch,logqueue-press,logqueue-roll,logqueue-temp
1.68,-2.07,-2.7,0.8084766167952608,,0.26,0.58,-9.78,329.6875,,,1.5625,1005.3021920776367,-176.5625,29.5375479752006
1.68,-2.07,-2.7,0.8084766167952608,,0.26,0.58,-9.78,329.6875,,,1.5625,1005.3021920776367,-176.5625,29.5375479752006
1.68,-2.07,-2.7,0.8084766167952608,,0.26,0.58,-9.78,329.6875,,,1.5625,1005.3021920776367,-176.5625,29.5375479752006
1.68,-2.07,-2.7,0.8084766167952608,,0.26,0.58,-9.78,329.6875,,,1.5625,1005.3021920776367,-176.5625,29.5375479752006
1.68,-2.07,-2.7,0.8084766167952608,,0.26,0.58,-9.78,329.6875,,,1.5625,1005.3021920776367,-176.5625,29.5375479752006
1.68,-2.07,-2.7,0.8084766167952608,,0.26,0.58,-9.78,329.6875,,,1.5625,1005.3021920776367,-176.5625,29.5375479752006
1.68,-2.07,-2.7,0.8084766167952608,,0.26,0.58,-9.78,329.6875,,,1.5625,1005.3021920776367,-176.5625,29.5375479752006
1.68,-2.07,-2.7,0.8084766167952608,,0.26,0.58,-9.78,329.6875,,,1.5625,1005.3021920776367,-176.5625,29.5375479752006
1.68,-2.07,-2.7,0.8084766167952608,,0.26,0.58,-9.78,329.6875,,,1.5625,1005.3021920776367,-176.5625,29.5375479752006
1.68,-2.07,-2.7,0.8084766167952608,,0.26,0.58,-9.78,329.6875,,,1.5625,1005.3021920776367,-176.5625,29.5375479752006
1.68,-2.07,-2.7,0.8084766167952608,,0.26,0.58,-9.78,329.6875,,,1.5625,1005.3021920776367,-176.5625,29.5375479752006
1.68,-2.07,-2.7,0.8084766167952608,,0.26,0.58,-9.78,329.6875,,,1.5625,1005.3021920776367,-176.5625,29.5375479752006
1.68,-2.07,-2.7,0.8084766167952608,,0.26,0.58,-9.78,329.6875,,,1.5625,1005.3021920776367,-176.5625,29.5375479752006
1.68,-2.07,-2.7,0.8084766167952608,,0.26,0.58,-9.78,329.6875,,,1.5625,1005.3021920776367,-176.5625,29.5375479752006
1.68,-2.07,-2.7,0.8084766167952608,,0.26,0.58,-9.78,329.6875,,,1.5625,1005.3021920776367,-176.5625,29.5375479752006
