timestamp_hours,timestamp_minutes,timestamp_seconds,latitude,longitude,pressure[hPa],temperature[degC],humidity[percent],altitude,heading,roll,pitch,mag_x,mag_y,mag_z,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,distance,direction
14,56,55.0,40.14250833333333,139.98822333333334,997.5132212836819,39.243094546819336,43.28207046508559,131.82784053168632,312.0625,92.3125,-2.5625,40.875,19.25,18.5,0.006666666666666667,0.0033333333333333335,0.0011111111111111111,-9.55,-0.39,0.45,66.32504373945694,292.2569791939123
14,56,56.0,40.14250833333333,139.98822333333334,997.5631835295209,39.22295760359266,43.428758912050576,131.4066476770665,312.0625,92.25,-2.5625,39.75,19.25,16.0,0.0011111111111111111,0.0,0.0044444444444444444,-9.66,-0.31,0.4,66.32504373945694,292.2569791939123
14,56,57.0,40.14250833333333,139.98822333333334,997.6042211086518,39.24812878335361,43.42897533731338,131.06070452651593,312.0625,92.3125,-2.5625,40.5625,19.5625,17.1875,0.0033333333333333335,-0.0033333333333333335,-0.0022222222222222222,-9.52,-0.41,0.45,66.32504373945694,292.2569791939123
14,56,58.0,40.14250833333333,139.98822333333334,997.6012456134081,39.26323149470263,43.23327965875593,131.08578729991865,312.0625,92.3125,-2.5625,41.25,18.875,17.1875,-0.006666666666666667,0.012222222222222223,-0.011111111111111112,-9.56,-0.39,0.41,66.32504373945694,292.2569791939123
14,56,59.0,40.14250833333333,139.98822333333334,997.5766234430198,39.24812878335361,43.55407604127882,131.2933491298846,312.0625,92.4375,-2.5,39.75,18.5,18.0625,0.0022222222222222222,-0.012222222222222223,-0.0,-9.58,-0.32,0.38,66.32504373945694,292.2569791939123
14,57,0.0,40.14250833333333,139.98822333333334,997.5818545140206,39.26826573240105,43.48898226332645,131.2492515057813,312.0625,92.375,-2.5625,40.875,18.875,16.25,0.0022222222222222222,0.0,-0.005555555555555556,-9.66,-0.33,0.39,66.32504373945694,292.2569791939123
14,57,1.0,40.14250833333333,139.98822333333334,997.5654401076685,39.25819725729525,43.35290967858953,131.38762462411398,312.0,92.4375,-2.625,40.875,19.5625,17.6875,0.0022222222222222222,0.017777777777777778,0.0022222222222222222,-9.59,-0.31,0.38,66.32504373945694,292.2569791939123
14,57,2.0,40.14250833333333,139.98822333333334,997.5594848197102,39.28840268610511,43.63602480672265,131.43782803867464,311.9375,92.4375,-2.625,39.75,18.875,17.1875,0.0,-0.0044444444444444444,-0.0011111111111111111,-9.54,-0.41,0.4,66.32504373945694,292.2569791939123
14,57,3.0,40.14250833333333,139.98822333333334,997.6206363117992,39.25819725729525,43.059163967724686,130.9223290471319,312.0,92.4375,-2.625,40.1875,18.875,16.25,0.0,-0.0033333333333333335,0.01,-9.62,-0.35,0.4,66.32504373945694,292.2569791939123
14,57,4.0,40.14250833333333,139.98822333333334,997.551277953739,39.28336844724254,43.01583748999854,131.50701278098035,312.0,92.4375,-2.625,41.25,18.875,16.75,0.0022222222222222222,-0.0033333333333333335,-0.005555555555555556,-9.54,-0.35,0.44,66.32504373945694,292.2569791939123
14,57,5.0,40.14250833333333,139.98822333333334,997.5706700543359,39.278334208671005,43.42923473942801,131.3435360778344,311.9375,92.4375,-2.625,40.5625,20.0,17.6875,0.0022222222222222222,-0.0022222222222222222,0.005555555555555556,-9.54,-0.41,0.42,66.32504373945694,292.2569791939123
14,57,6.0,40.14250833333333,139.98822333333334,997.5706700543359,39.278334208671005,43.342199760706805,131.3435360778344,312.0,92.4375,-2.625,40.875,19.5625,16.75,0.0033333333333333335,-0.0033333333333333335,0.005555555555555556,-9.57,-0.27,0.41,66.32504373945694,292.2569791939123
14,57,7.0,40.14250833333333,139.98822333333334,997.6087265294805,39.318608125392345,43.30445569183534,131.0227249307252,312.0,92.4375,-2.625,40.1875,19.5625,18.5,0.0011111111111111111,0.0,-0.0033333333333333335,-9.59,-0.35,0.43,66.32504373945694,292.2569791939123
14,57,8.0,40.14250833333333,139.98822333333334,997.5863516381688,39.33874509073794,43.20669177073798,131.21134116060506,312.0,92.4375,-2.5625,40.5625,19.5625,15.875,0.0022222222222222222,0.0033333333333333335,0.0022222222222222222,-9.61,-0.31,0.4,66.32504373945694,292.2569791939123
14,57,9.0,40.14250833333333,139.98822333333334,997.6139532207831,39.33874509073794,43.37534881650541,130.97866537524675,312.0,92.4375,-2.5625,40.1875,20.375,18.0625,-0.0022222222222222222,0.0044444444444444444,-0.0044444444444444444,-9.56,-0.41,0.4,66.32504373945694,292.2569791939123
14,57,10.0,40.14250833333333,139.98822333333334,997.6855711937566,39.34881357515697,43.603928562912415,130.3749645887258,312.0,92.4375,-2.5625,39.75,18.875,18.0625,-0.0022222222222222222,0.0022222222222222222,0.005555555555555556,-9.59,-0.39,0.34,66.32504373945694,292.2569791939123
14,57,11.0,40.14250833333333,139.98822333333334,997.5639736465947,39.35888206074014,43.09259307180965,131.3999869514462,312.0,92.4375,-2.5625,40.875,18.5,17.1875,-0.044444444444444446,0.014444444444444444,0.0022222222222222222,-9.61,-0.41,0.25,66.32504373945694,292.2569791939123
14,57,12.0,40.14250833333333,139.98822333333334,997.5445773493093,39.36391630396829,43.3701204860465,131.56349992202468,312.375,92.375,-2.3125,40.5625,19.25,15.875,0.012222222222222223,0.0044444444444444444,-0.0033333333333333335,-9.45,-0.3,0.52,66.32504373945694,292.2569791939123
14,57,13.0,40.14250833333333,139.98822333333334,997.5557673329356,39.353847817803036,43.054466162240814,131.46916678562343,312.625,92.3125,-2.125,39.75,19.25,16.25,-0.056666666666666664,0.023333333333333334,-0.03888888888888889,-9.35,-0.53,0.36,66.32504373945694,292.2569791939123
14,57,14.0,40.14250833333333,139.98822333333334,997.602765038029,39.34881357515697,43.26118067229388,131.0729788754821,312.625,92.1875,-2.125,40.5625,18.875,16.75,-0.02,-0.005555555555555556,-0.012222222222222223,-9.83,-0.22,0.21,66.32504373945694,292.2569791939123
14,57,15.0,40.14250833333333,139.98822333333334,997.5557673329356,39.353847817803036,43.39179801647459,131.46916678562343,312.625,92.1875,-2.125,40.5625,20.0,16.75,-0.01,-0.06333333333333334,0.0044444444444444444,-9.79,0.01,0.69,66.32504373945694,292.2569791939123
14,57,16.0,40.14250833333333,139.98822333333334,997.5915760801889,39.35888206074014,43.12523954009226,131.16729976606976,312.6875,92.25,-2.125,41.6875,18.875,16.75,-0.008888888888888889,0.027777777777777776,0.015555555555555555,-9.63,-0.23,0.38,66.32504373945694,292.2569791939123
14,57,18.0,40.14250833333333,139.98822333333334,997.6437989655028,39.3739847912977,42.9730008586629,130.72707762072045,312.75,92.3125,-2.0625,40.875,19.25,16.25,0.006666666666666667,-0.006666666666666667,0.0022222222222222222,-9.61,-0.26,0.44,66.32504373945694,292.2569791939123
14,57,19.0,40.14250833333333,139.98822333333334,997.5721799846973,39.36391630396829,43.239540692680116,131.3308073720264,312.8125,92.3125,-2.0,40.5625,18.875,18.0,-0.0077777777777777776,-0.0033333333333333335,-0.006666666666666667,-9.56,-0.39,0.39,66.32504373945694,292.2569791939123
14,57,20.0,40.14250833333333,139.98822333333334,997.6296250356562,39.39915601471439,43.299681520658666,130.8465574506393,312.8125,92.3125,-2.0625,40.5625,19.25,16.75,-0.03,0.058888888888888886,0.04555555555555556,-9.38,-0.75,-0.26,66.32504373945694,292.2569791939123
14,57,21.0,40.14250833333333,139.98822333333334,997.6706579477321,39.42432724540704,43.28900608635644,130.50067229591974,313.0,92.3125,-1.875,40.5625,20.375,17.1875,-0.0022222222222222222,0.01,-0.04111111111111111,-9.5,-0.41,0.31,66.32504373945694,292.2569791939123
14,57,22.0,40.14250833333333,139.98822333333334,997.5796360939692,39.41929299868643,42.984226887035476,131.2679526348427,313.0625,92.3125,-1.8125,40.1875,18.5,16.75,0.01888888888888889,0.03666666666666667,0.056666666666666664,-9.63,-0.12,0.79,66.32504373945694,292.2569791939123
14,57,23.0,40.14250833333333,139.98822333333334,997.6676719970839,39.43942998731509,42.8537631830853,130.5258418489279,313.0625,92.375,-1.875,40.1875,18.875,17.5625,0.01,-0.0022222222222222222,0.025555555555555557,-9.61,-0.25,0.37,66.32504373945694,292.2569791939123
14,57,24.0,40.14250833333333,139.98822333333334,997.5490426666495,39.43439573972137,43.343505230541425,131.52585656583656,313.125,92.375,-1.8125,40.1875,19.25,16.75,-0.0033333333333333335,-0.006666666666666667,-0.012222222222222223,-9.54,-0.32,0.42,66.32504373945694,292.2569791939123
14,57,25.0,40.14250833333333,139.98822333333334,997.7004981642818,39.45956698060036,42.99541614037832,130.24914271770342,313.0625,92.375,-1.875,40.5625,18.875,17.1875,0.0,0.0,0.0022222222222222222,-9.63,-0.35,0.38,66.32504373945694,292.2569791939123
14,57,26.0,40.14250833333333,139.98822333333334,997.6616967937917,39.46963547898922,42.95195156724617,130.57620897170014,313.125,92.375,-1.8125,40.5625,18.875,17.5625,0.0,-0.0044444444444444444,0.0022222222222222222,-9.6,-0.27,0.42,66.32504373945694,292.2569791939123
14,57,27.0,40.14250833333333,139.98822333333334,997.6699029979723,39.47466972862021,43.15336293872381,130.50703600819705,313.125,92.375,-1.8125,41.0,19.5625,18.0,0.0022222222222222222,0.0011111111111111111,0.005555555555555556,-9.54,-0.41,0.45,66.32504373945694,292.2569791939123
14,57,28.0,40.14250833333333,139.98822333333334,997.6893040830801,39.46963547898922,43.24039902310824,130.34349931238,313.125,92.375,-1.75,40.1875,19.5625,16.75,-0.005555555555555556,0.0011111111111111111,-0.0022222222222222222,-9.61,-0.33,0.41,66.32504373945694,292.2569791939123
